,married,hourly_wage,years_in_education,years_in_employment,num_dependents,gender,race
0,true,3.24,12,2,3,female,white
1,false,3.0,11,0,2,male,white
2,true,6.0,8,28,0,male,white
3,true,5.3,12,2,1,male,white
4,true,8.75,16,8,0,male,white
5,false,11.25,18,7,0,male,white
6,false,5.0,12,3,0,female,white
7,false,3.6,12,4,2,female,white
8,true,18.18,17,21,0,male,white
9,false,6.25,16,2,0,female,white
10,false,8.13,13,0,0,female,white
11,true,8.77,12,0,2,male,white
12,false,5.5,12,3,0,male,white
13,true,22.2,12,15,1,male,white
14,true,17.33,16,0,1,male,white
15,true,7.5,12,0,0,female,white
16,false,10.63,13,10,0,female,white
17,true,3.6,12,0,3,female,white
18,true,4.5,12,6,0,female,white
19,false,6.88,12,4,0,female,white
20,true,8.48,12,13,3,male,white
21,false,6.33,16,9,0,female,white
22,false,0.53,12,1,0,female,white
23,false,6.0,11,8,0,female,nonwhite
24,true,9.56,16,3,1,male,nonwhite
25,true,7.78,16,10,1,male,white
26,true,12.5,16,0,0,male,white
27,true,12.5,15,0,2,male,white
28,true,3.25,8,1,2,female,white
29,true,13.0,14,5,2,male,white
30,false,4.5,14,5,2,female,white
31,false,9.68,13,16,0,female,white
32,false,5.0,12,3,0,female,white
33,false,4.68,12,0,0,female,white
34,true,4.27,16,4,1,female,nonwhite
35,true,6.15,12,6,1,female,nonwhite
36,true,3.51,4,15,5,male,white
37,true,3.0,14,3,0,female,white
38,false,6.25,12,0,0,female,white
39,true,7.81,12,0,0,female,white
40,true,10.0,12,5,4,female,nonwhite
41,true,4.5,14,0,1,female,white
42,true,4.0,11,12,0,female,white
43,false,6.38,13,4,0,female,white
44,true,13.7,15,13,2,male,white
45,false,1.67,10,0,1,male,white
46,true,2.93,12,2,1,female,white
47,false,3.65,14,2,0,male,white
48,true,2.9,12,1,2,female,white
49,false,1.63,12,0,2,female,white
50,false,8.6,16,2,0,female,white
51,true,5.0,12,5,1,male,white
52,true,6.0,12,7,0,male,white
53,false,2.5,12,0,2,male,white
54,false,3.25,15,0,1,male,white
55,false,3.4,16,1,1,female,white
56,false,10.0,8,0,0,male,nonwhite
57,false,21.63,18,8,0,female,white
58,false,4.38,16,0,0,male,white
59,false,11.71,13,20,0,female,white
60,false,12.39,14,5,0,male,white
61,false,6.25,10,8,0,male,white
62,false,3.71,10,0,4,female,nonwhite
63,false,7.78,14,3,0,male,white
64,true,19.98,14,23,2,male,white
65,true,6.25,16,4,3,female,nonwhite
66,true,10.0,12,3,3,male,white
67,true,5.71,16,5,1,male,white
68,false,2.0,12,2,4,female,white
69,false,5.71,16,0,0,female,white
70,true,13.08,17,2,3,male,nonwhite
71,true,4.91,12,8,2,male,white
72,true,2.91,12,34,2,female,white
73,true,3.75,12,0,0,female,white
74,true,11.9,13,19,2,male,white
75,true,4.0,12,0,1,female,white
76,false,3.1,12,1,1,female,white
77,true,8.45,12,13,4,male,white
78,true,7.14,18,0,2,male,white
79,true,4.5,9,5,4,male,white
80,false,4.65,16,1,0,male,white
81,false,2.9,10,0,1,female,white
82,false,6.67,12,5,0,male,white
83,false,3.5,12,2,1,female,nonwhite
84,true,3.26,12,3,1,female,white
85,true,3.25,12,0,1,female,white
86,false,8.0,12,4,1,female,white
87,true,9.85,8,24,2,male,nonwhite
88,true,7.5,12,7,1,male,white
89,true,5.91,12,6,2,male,white
90,true,11.76,14,39,0,male,white
91,false,3.0,12,0,2,female,white
92,false,4.81,12,0,0,female,white
93,false,6.5,12,1,0,female,white
94,true,4.0,9,1,1,female,white
95,false,3.5,13,0,1,male,white
96,true,13.16,12,22,0,male,white
97,true,4.25,14,2,2,male,white
98,false,3.5,12,0,0,male,white
99,false,5.13,15,6,0,female,white
100,true,3.75,12,0,3,female,white
101,true,4.5,12,12,0,female,white
102,false,7.63,12,4,0,female,white
103,true,15.0,14,7,1,male,nonwhite
104,true,6.85,15,3,2,female,white
105,true,13.33,12,11,2,male,white
106,false,6.67,12,10,0,male,white
107,false,2.53,12,0,0,female,white
108,true,9.8,17,0,0,male,white
109,true,3.37,11,12,0,male,white
110,true,24.98,18,25,0,male,white
111,true,5.4,12,3,0,male,white
112,true,6.11,14,0,2,male,white
113,true,4.2,14,16,0,female,white
114,false,3.75,10,0,0,male,white
115,true,3.5,14,0,0,female,white
116,false,3.64,12,2,0,male,white
117,true,3.8,15,1,1,male,white
118,true,3.0,8,12,3,female,white
119,true,5.0,16,1,0,female,white
120,true,4.63,14,0,2,female,white
121,false,3.0,15,0,0,male,white
122,false,3.2,12,0,1,female,white
123,true,3.91,18,3,2,male,white
124,true,6.43,16,3,2,female,white
125,true,5.48,10,3,0,female,white
126,false,1.5,8,30,0,male,white
127,false,2.9,10,2,2,female,white
128,true,5.0,11,1,0,male,white
129,true,8.92,18,3,0,male,white
130,false,5.0,15,0,0,male,white
131,true,3.52,12,1,0,male,white
132,false,2.9,11,0,1,female,white
133,true,4.5,12,0,3,male,white
134,false,2.25,12,0,2,female,white
135,true,5.0,14,5,4,male,white
136,true,10.0,16,3,2,male,nonwhite
137,true,3.75,2,13,0,male,white
138,true,10.0,14,11,0,female,white
139,true,10.95,16,20,4,male,white
140,false,7.9,12,0,0,male,white
141,false,4.72,12,1,0,female,white
142,true,5.84,13,0,1,female,white
143,false,3.83,12,2,3,female,white
144,false,3.2,15,2,2,female,white
145,false,2.0,10,0,5,female,nonwhite
146,true,4.5,12,4,3,female,white
147,true,11.55,16,5,3,female,white
148,true,2.14,13,15,0,female,nonwhite
149,false,2.38,9,0,5,male,nonwhite
150,false,3.75,12,0,1,male,white
151,false,5.52,13,3,0,male,white
152,true,6.5,12,5,0,female,white
153,false,3.1,12,2,1,female,white
154,true,10.0,14,5,2,male,white
155,true,6.63,16,0,0,male,white
156,true,10.0,16,2,0,male,white
157,false,2.31,9,1,5,female,white
158,false,6.88,18,4,0,male,white
159,false,2.83,10,0,4,male,white
160,false,3.13,10,0,1,female,white
161,true,8.0,13,5,1,male,white
162,true,4.5,12,4,0,female,white
163,false,8.65,18,1,0,female,white
164,false,2.0,13,6,0,female,white
165,true,4.75,12,2,0,female,white
166,true,6.25,13,5,1,female,white
167,true,6.0,13,0,2,male,white
168,true,15.38,13,21,2,male,white
169,false,14.58,18,7,0,female,white
170,false,12.5,12,1,0,male,white
171,true,5.25,12,10,2,female,white
172,false,2.17,13,4,1,female,white
173,false,7.14,12,5,0,female,white
174,true,6.22,12,9,1,female,white
175,true,9.0,12,5,0,female,white
176,true,10.0,14,4,0,male,white
177,true,5.77,10,3,0,male,white
178,true,4.0,12,11,2,female,white
179,true,8.75,16,2,1,male,white
180,false,6.53,16,2,0,female,white
181,false,7.6,12,11,0,female,white
182,false,5.0,14,0,0,male,white
183,false,5.0,12,11,0,female,white
184,true,21.86,12,16,3,male,white
185,true,8.64,12,8,0,male,white
186,true,3.3,12,8,1,male,white
187,false,4.44,12,0,0,male,white
188,true,4.55,12,0,0,male,white
189,true,3.5,12,6,0,female,nonwhite
190,true,6.25,16,2,1,male,white
191,true,3.85,16,0,0,male,white
192,true,6.18,14,3,0,female,white
193,false,2.91,11,0,3,female,white
194,false,6.25,16,1,0,female,nonwhite
195,true,6.25,12,0,0,female,white
196,true,9.05,12,2,3,male,white
197,true,10.0,17,3,0,male,white
198,true,11.11,12,8,0,male,white
199,true,6.88,12,19,3,male,white
200,false,8.75,16,2,0,male,nonwhite
201,true,10.0,8,0,0,male,white
202,true,3.05,12,0,2,female,white
203,true,3.0,12,0,0,female,white
204,true,5.8,12,6,2,female,white
205,true,4.1,16,0,0,female,white
206,true,8.0,12,2,1,male,white
207,false,6.15,12,12,0,female,white
208,false,2.7,9,0,1,female,white
209,false,2.75,13,2,1,female,white
210,true,3.0,16,10,0,female,white
211,false,3.0,14,2,0,female,white
212,true,7.36,8,24,3,male,white
213,true,7.5,14,24,1,male,white
214,false,3.5,13,2,3,male,white
215,true,8.1,12,3,1,female,white
216,false,3.75,18,2,1,male,white
217,true,3.25,9,0,1,male,nonwhite
218,true,5.83,8,15,0,female,white
219,false,3.5,8,0,3,male,white
220,true,3.33,12,4,0,female,white
221,false,4.0,14,3,0,female,white
222,true,3.5,12,4,2,female,white
223,true,6.25,16,0,0,male,white
224,true,2.95,8,2,1,female,nonwhite
225,true,5.71,13,2,0,female,white
226,false,3.0,9,0,0,female,white
227,true,22.86,16,7,2,male,white
228,true,9.0,12,1,0,male,white
229,true,8.33,15,26,1,male,white
230,false,3.0,11,0,0,male,white
231,true,5.75,14,5,0,male,white
232,true,6.76,12,3,2,male,nonwhite
233,true,10.0,12,0,2,male,white
234,false,3.0,12,0,0,male,white
235,false,3.5,18,1,0,female,white
236,false,3.25,12,0,0,male,white
237,false,4.0,12,1,0,female,nonwhite
238,false,2.92,12,0,1,female,white
239,false,3.06,12,10,3,female,nonwhite
240,true,3.2,12,5,1,female,white
241,true,4.75,12,0,3,male,white
242,true,3.0,14,0,4,female,white
243,true,18.16,16,7,1,male,white
244,false,3.5,12,0,2,female,white
245,false,4.11,14,0,0,male,white
246,false,1.96,11,3,0,female,nonwhite
247,false,4.29,12,0,0,female,white
248,false,3.0,10,0,0,male,white
249,true,6.45,12,6,0,male,white
250,true,5.2,6,13,0,male,nonwhite
251,false,4.5,13,2,0,female,nonwhite
252,true,3.88,12,3,3,male,white
253,false,3.45,10,0,2,female,white
254,false,10.91,12,23,0,male,white
255,true,4.1,14,0,0,female,white
256,false,3.0,13,1,0,male,white
257,true,5.9,12,7,2,male,nonwhite
258,false,18.0,18,0,0,female,white
259,false,4.0,12,0,0,male,white
260,false,3.0,12,0,0,male,nonwhite
261,true,3.55,12,0,1,female,white
262,true,3.0,12,1,2,female,white
263,true,8.75,12,44,0,male,white
264,false,2.9,8,6,1,female,white
265,true,6.26,13,17,0,female,white
266,false,3.5,13,0,0,female,white
267,true,4.6,14,0,0,female,white
268,false,6.0,12,8,2,male,white
269,false,2.89,10,0,1,female,white
270,true,5.58,16,1,0,male,white
271,true,4.0,12,6,0,female,white
272,false,6.0,16,2,0,male,white
273,false,4.5,12,1,2,female,white
274,false,2.92,14,3,0,male,white
275,false,4.33,18,0,0,male,white
276,true,18.89,17,20,2,male,white
277,false,4.28,13,1,2,female,white
278,true,4.57,14,7,0,female,white
279,true,6.25,15,4,2,female,white
280,true,2.95,14,23,0,male,nonwhite
281,false,8.75,12,1,0,male,white
282,false,8.5,8,26,0,male,white
283,true,3.75,12,0,4,female,white
284,true,3.15,12,1,0,male,white
285,false,5.0,8,2,0,male,white
286,true,6.46,12,0,3,male,white
287,false,2.0,9,0,3,male,white
288,true,4.79,12,8,0,male,white
289,true,5.78,16,4,2,male,white
290,true,3.18,12,0,0,female,white
291,false,4.68,16,1,0,female,white
292,false,4.1,12,2,0,female,white
293,true,2.91,12,0,0,male,white
294,true,6.0,13,13,4,male,white
295,true,3.6,10,26,0,female,white
296,true,3.95,6,6,6,male,white
297,true,7.0,12,5,1,male,nonwhite
298,true,3.0,12,9,0,female,white
299,false,6.08,16,0,0,male,white
300,true,8.63,12,9,1,male,white
301,true,3.0,8,2,0,male,white
302,true,3.75,12,2,1,female,white
303,true,2.9,6,7,0,male,white
304,true,3.0,4,0,0,male,nonwhite
305,true,6.25,11,31,0,male,white
306,false,3.5,11,2,2,female,nonwhite
307,false,3.0,7,1,3,female,white
308,true,3.24,12,0,2,female,white
309,true,8.02,18,3,1,female,white
310,true,3.33,12,8,1,female,white
311,false,5.25,16,0,0,male,white
312,true,6.25,12,0,3,male,white
313,true,3.5,14,2,1,male,white
314,false,2.95,12,1,1,male,white
315,true,3.0,10,0,2,female,white
316,false,4.69,10,7,0,male,white
317,false,3.73,9,2,1,female,white
318,true,4.0,10,12,0,male,white
319,true,4.0,12,0,2,female,white
320,true,2.9,12,1,2,female,white
321,false,3.05,12,0,1,female,white
322,false,5.05,10,0,0,female,white
323,true,13.95,16,16,0,male,white
324,true,18.16,16,28,1,male,white
325,false,6.25,16,4,0,male,white
326,false,5.25,12,0,0,male,nonwhite
327,true,4.79,12,3,3,female,white
328,false,3.35,7,0,1,female,white
329,true,3.0,8,0,1,male,white
330,true,8.43,16,6,0,male,white
331,false,5.7,16,0,0,male,white
332,true,11.98,18,10,2,male,white
333,true,3.5,13,1,0,female,white
334,true,4.24,10,5,1,male,nonwhite
335,true,7.0,16,3,1,female,white
336,true,6.0,14,3,2,female,white
337,false,12.22,16,2,0,male,white
338,true,4.5,12,0,0,male,white
339,true,3.0,9,20,2,female,white
340,false,2.9,11,2,2,male,nonwhite
341,true,15.0,11,31,0,male,white
342,true,4.0,12,2,0,male,white
343,true,5.25,11,11,2,male,white
344,true,4.0,12,3,3,male,white
345,true,3.3,12,9,2,female,white
346,true,5.05,12,0,3,female,white
347,false,3.58,12,0,0,male,white
348,true,5.0,14,5,2,male,white
349,true,4.57,14,0,0,male,white
350,false,12.5,18,2,0,male,white
351,true,3.45,12,5,0,female,white
352,false,4.63,12,1,0,female,white
353,true,10.0,12,2,0,male,white
354,false,2.92,11,0,1,female,white
355,false,4.51,12,2,0,male,white
356,true,6.5,17,0,0,male,white
357,true,7.5,16,0,0,male,white
358,true,3.54,13,7,0,female,white
359,true,4.2,13,3,2,female,white
360,true,3.51,12,2,0,female,white
361,true,4.5,14,0,0,male,white
362,true,3.35,14,4,0,female,white
363,false,2.91,11,2,2,male,white
364,true,5.25,10,7,1,male,white
365,true,4.05,8,25,0,male,white
366,true,3.75,14,0,3,female,white
367,true,3.4,12,15,1,female,white
368,false,3.0,10,1,1,female,white
369,true,6.29,17,3,1,male,white
370,false,2.54,9,0,1,female,white
371,true,4.5,12,0,1,female,white
372,true,3.13,12,5,1,female,white
373,true,6.36,14,1,0,male,white
374,false,4.68,16,0,0,male,white
375,true,6.8,12,10,2,male,white
376,true,8.53,10,6,0,male,white
377,false,4.17,0,10,0,female,white
378,true,3.75,14,4,0,female,white
379,false,11.1,15,4,2,female,white
380,true,3.26,16,5,2,female,nonwhite
381,true,9.13,12,12,3,male,white
382,true,4.5,11,10,2,male,white
383,false,3.0,11,1,1,female,white
384,true,8.75,12,4,0,male,white
385,true,4.14,13,0,0,female,white
386,true,2.87,12,8,0,female,white
387,false,3.35,13,0,2,female,white
388,false,6.08,16,10,0,male,white
389,false,3.0,15,0,0,male,nonwhite
390,true,4.2,16,0,1,female,white
391,false,5.6,15,15,2,female,white
392,true,10.0,12,24,0,male,white
393,true,12.5,18,5,1,male,white
394,false,3.76,6,0,4,male,white
395,false,3.1,6,0,5,female,nonwhite
396,true,4.29,12,25,2,female,white
397,true,10.92,12,5,0,male,white
398,true,7.5,16,2,1,female,white
399,true,4.05,9,4,1,female,white
400,true,4.65,12,2,3,male,white
401,true,5.0,11,5,0,male,white
402,true,2.9,10,0,2,female,white
403,false,8.0,12,3,1,female,nonwhite
404,true,8.43,8,3,3,male,white
405,false,2.92,9,0,0,female,white
406,false,6.25,17,0,0,female,white
407,true,6.25,16,2,2,female,white
408,false,5.11,11,0,0,male,white
409,false,4.0,10,0,1,female,white
410,true,4.44,8,11,3,male,white
411,true,6.88,13,21,0,male,white
412,true,5.43,14,3,1,male,nonwhite
413,false,3.0,13,0,1,female,white
414,false,2.9,11,0,2,female,white
415,true,6.25,7,21,0,male,nonwhite
416,false,4.34,16,2,0,female,nonwhite
417,true,3.25,12,2,2,female,white
418,false,7.26,13,2,0,male,white
419,true,6.35,14,1,2,female,white
420,true,5.63,16,2,0,male,white
421,true,8.75,14,3,1,male,white
422,false,3.2,11,0,0,male,white
423,true,3.0,8,1,0,female,white
424,true,3.0,14,3,0,female,white
425,true,12.5,17,18,3,male,white
426,false,2.88,10,0,3,female,white
427,true,3.35,12,1,0,male,white
428,true,6.5,12,2,0,male,white
429,true,10.38,18,2,1,male,nonwhite
430,true,4.5,14,0,0,male,white
431,false,10.0,18,8,0,male,white
432,true,3.81,12,1,2,female,white
433,true,8.8,16,1,0,male,white
434,true,9.42,14,0,2,female,white
435,true,6.33,12,8,2,male,white
436,false,4.0,9,18,0,male,nonwhite
437,true,2.9,12,0,0,female,white
438,true,20.0,12,4,1,male,white
439,true,11.25,17,25,1,male,white
440,false,3.5,12,0,2,female,nonwhite
441,true,6.0,15,4,2,female,white
442,true,14.38,17,9,1,male,nonwhite
443,true,6.36,16,0,1,male,white
444,true,3.55,12,0,1,female,white
445,true,3.0,15,0,0,male,white
446,true,4.5,16,10,1,male,white
447,false,6.63,12,0,0,female,white
448,true,9.3,15,2,0,male,white
449,true,3.0,12,0,2,female,white
450,false,3.25,12,2,0,female,white
451,true,1.5,12,1,2,female,white
452,true,5.9,12,7,1,female,white
453,false,8.0,16,4,0,male,white
454,false,2.9,11,0,1,female,white
455,false,3.29,14,13,0,male,white
456,true,6.5,14,33,0,male,white
457,false,4.0,13,0,1,female,white
458,true,6.0,14,0,0,male,white
459,true,4.08,12,17,0,female,white
460,true,3.75,12,2,0,female,white
461,false,3.05,8,24,0,female,white
462,true,3.5,12,20,0,female,white
463,false,2.92,3,30,0,male,nonwhite
464,false,4.5,11,9,0,male,white
465,true,3.35,15,1,2,female,white
466,true,5.95,11,9,1,male,nonwhite
467,true,8.0,12,6,2,male,white
468,true,3.0,4,0,1,male,white
469,true,5.0,9,9,6,male,nonwhite
470,true,5.5,12,4,1,male,white
471,true,2.65,12,10,0,female,white
472,false,3.0,11,0,2,female,white
473,true,4.5,12,14,0,female,white
474,true,17.5,16,22,3,male,white
475,false,8.18,13,5,0,male,white
476,true,9.09,15,12,1,male,white
477,true,11.82,16,13,0,male,white
478,true,3.25,12,0,0,female,white
479,false,4.5,12,0,0,male,white
480,true,4.5,12,0,0,male,white
481,true,3.71,9,7,2,male,white
482,true,6.5,10,11,3,male,white
483,true,2.9,12,1,0,female,white
484,true,5.6,11,8,2,male,white
485,true,2.23,8,3,4,male,white
486,true,5.0,6,0,3,female,white
487,true,8.33,16,2,0,male,white
488,false,2.9,12,1,4,female,white
489,true,6.25,12,6,3,male,white
490,true,4.55,16,2,0,male,white
491,false,3.28,12,2,0,female,white
492,false,2.3,10,0,4,female,white
493,false,3.3,13,0,0,female,white
494,false,3.15,13,0,4,female,white
495,true,12.5,14,30,0,male,white
496,false,5.15,16,21,0,female,white
497,false,3.13,10,1,2,male,white
498,true,7.25,12,5,3,male,white
499,false,2.9,12,2,0,female,white
500,false,1.75,11,1,2,male,white
501,true,2.89,0,0,2,female,white
502,true,2.9,5,0,5,female,white
503,true,17.71,16,3,1,male,white
504,true,6.25,16,3,0,male,white
505,false,2.6,9,0,1,male,white
506,true,6.63,15,3,2,female,white
507,false,3.5,12,3,1,female,nonwhite
508,true,6.5,12,14,3,male,white
509,false,3.0,12,1,0,female,nonwhite
510,true,4.38,13,0,1,male,nonwhite
511,false,10.0,12,0,1,male,white
512,true,4.95,7,17,5,male,white
513,true,9.0,17,0,2,female,white
514,true,1.43,12,0,2,female,white
515,false,3.08,12,1,0,male,white
516,true,9.33,14,11,3,male,white
517,true,7.5,12,5,2,male,white
518,true,4.75,13,1,0,male,white
519,false,5.65,12,0,0,male,white
520,true,15.0,16,2,2,female,white
521,false,2.27,10,0,3,female,white
522,true,4.67,15,18,3,male,white
523,true,11.56,16,1,0,male,white
524,false,3.5,14,4,2,female,nonwhite
